Tank,Feed,Mass_Gained,Density,Ration,Treatment
1,3.4318,4.42,3,Half,3Half
2,5.0709,9.015,5,Half,5Half
3,13.5137,9.839,7,Full,7Full
4,3.6458,5.678,3,Half,3Half
5,13.7933,15.28,5,Full,5Full
6,18.1257,14.415,7,Full,7Full
7,2.5524,4.07,1,Full,1Full
8,4.7523,5.081,3,Full,3Full
9,7.6237,11.083,7,Half,7Half
10,3.3883,1.974,1,Full,1Full
11,0.9308,1.555,1,Half,1Half
12,12.2368,13.967,5,Full,5Full
13,5.1883,9.388,5,Half,5Half
14,18.1373,24.2,7,Full,7Full
15,1.1947,1.584,1,Half,1Half
16,4.0222,6.026,3,Half,3Half
17,6.0045,9.65,5,Half,5Half
18,1.6345,2.769,1,Half,1Half
19,7.4783,15.219,7,Half,7Half
20,8.2586,6.841,5,Full,5Full
21,8.5786,11.549,3,Full,3Full
22,1.525,0.548,1,Full,1Full
23,8.9728,11.42,3,Full,3Full
24,7.3339,11.323,7,Half,7Half