Tank,Colour,FishID,Date,Mass,Length,Density,Ration,Treatment,Week,Note
1,BB,1,NA,NA,NA,3,Half,3Half,NA,Dried to floor
1,BR,2,09-24-2019,2.324,84,3,Half,3Half,3,
2,BR,2,10-02-2019,2.692,87,5,Half,5Half,4,
2,GB,5,09-22-2019,2.745,94,5,Half,5Half,2,
3,BB,1,09-23-2019,2.209,88,7,Full,7Full,3,
3,GR,4,09-21-2019,2.903,95,7,Full,7Full,2,
3,GG,6,10-03-2019,3.598,90,7,Full,7Full,4,
6,BB,1,09-26-2019,2.3,86,7,Full,7Full,3,
8,BR,2,09-15-2019,1.949,NA,3,Full,3Full,1,
9,BR,2,09-30-2019,2.652,81,7,Half,7Half,4,
9,BG,3,09-25-2019,2.592,88,7,Half,7Half,3,
9,GG,6,09-30-2019,4.515,109,7,Half,7Half,4,
13,GR,4,09-27-2019,2.455,91,5,Half,5Half,3,
14,RR,4,09-28-2019,2.441,75,7,Full,7Full,3,
17,RR,4,09-22-2019,3.088,93,5,Half,5Half,2,
19,BG,3,09-28-2019,3.291,99,7,Half,7Half,3,
19,RR,4,09-13-2019,NA,NA,7,Half,7Half,1,
19,GR,4,09-30-2019,2.759,84,7,Half,7Half,4,
20,BB,1,09-19-2019,2.852,95,5,Full,5Full,2,
20,RR,4,09-18-2019,3.169,94,5,Full,5Full,2,Frozen
22,BB,1,09-27-2019,3.472,99,1,Full,1Full,3,
23,BR,2,10-02-2019,2.706,83,3,Full,3Full,4,
24,RR,4,09-25-2019,2.641,70,7,Half,7Half,3,
24,GR,4,09-27-2019,2.664,86,7,Half,7Half,3,